# Version: ICTV_Master_Species_List_2022_MSL38_v3 (website: https://ictv.global/msl)
Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Genome Composition	Last Change	MSL of Last Change	Proposal for Last Change 	Taxon History URL
18	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Icerudivirus		Icerudivirus SIRV3	dsDNA	New,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202211709
19	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Itarudivirus		Itarudivirus ARV1	dsDNA	Renamed,Moved,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202201545
20	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Japarudivirus		Japarudivirus SBRV1	dsDNA	New,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202211721
21	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Mexirudivirus		Mexirudivirus SMRV1	dsDNA	New,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202211722
22	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV4	dsDNA	New,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202211710
23	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV5	dsDNA	New,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202211711
24	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV8	dsDNA	New,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202211712
25	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV9	dsDNA	New,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202211713
26	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV10	dsDNA	New,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202211714
27	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Rudiviridae		Usarudivirus		Usarudivirus SIRV11	dsDNA	New,	36	2020.141B.R.Rudiviridae.zip	ictv.global=202211715
28	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Ligamenvirales		Ungulaviridae		Captovirus		Captovirus AFV1	dsDNA	Renamed,Moved,	37	2021.003A.R.Ungulaviridae.zip	ictv.global=202201541
29	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Maximonvirales		Ahmunviridae		Yumkaaxvirus		Yumkaaxvirus pescaderoense	dsDNA	New,	38	2022.001A.Nakonvirales_Maximonvirales_Coyopavirales_3no.zip	ictv.global=202214297
30	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Alphatristromavirus		Alphatristromavirus PFV1	dsDNA	Renamed,Moved,Removed as Type Species,	36	2020.168B.R.Tristromaviridae.zip;2020.001G.R.Abolish_type_species.pdf	ictv.global=202205323
31	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Alphatristromavirus		Alphatristromavirus PFV2	dsDNA	New,	36	2020.168B.R.Tristromaviridae.zip	ictv.global=202212054
32	Adnaviria		Zilligvirae		Taleaviricota		Tokiviricetes		Primavirales		Tristromaviridae		Betatristromavirus		Betatristromavirus TTV1	dsDNA	Renamed,Moved,	36	2020.168B.R.Tristromaviridae.zip	ictv.global=202205324
33	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201396
34	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo2	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201397
35	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Batravirus		Batravirus ranidallo3	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202205570
36	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus anguillidallo1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201399
37	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201400
38	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo2	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201401
39	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Cyvirus		Cyvirus cyprinidallo3	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201402
40	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus acipenseridallo2	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201404
41	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus ictaluridallo1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201405
42	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Ictavirus		Ictavirus ictaluridallo2	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201406
43	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201408
44	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo2	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201409
45	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Alloherpesviridae		Salmovirus		Salmovirus salmonidallo3	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201410
46	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Malacoherpesviridae		Aurivirus		Aurivirus haliotidmalaco1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201525
47	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Malacoherpesviridae		Ostreavirus		Ostreavirus ostreidmalaco1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201527
48	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus cacatuidalpha2	dsDNA	New,	38	2022.002D.Herpesvirales_9nsp.zip	ictv.global=202214013
49	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus gallidalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201414
50	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus psittacidalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201415
51	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Iltovirus		Iltovirus psittacidalpha5	dsDNA	New,	38	2022.002D.Herpesvirales_9nsp.zip	ictv.global=202214014
52	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus anatidalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201417
53	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus columbidalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201418
54	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus gallidalpha2	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201419
55	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus gallidalpha3	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201420
56	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus meleagridalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201421
57	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Mardivirus		Mardivirus spheniscidalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202206397
58	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Scutavirus		Scutavirus chelonidalpha5	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201423
59	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Scutavirus		Scutavirus testudinidalpha3	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202206398
60	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus atelinealpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201425
61	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus bovinealpha2	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201426
62	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus cercopithecinealpha2	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201427
63	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus humanalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201428
64	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus humanalpha2	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201429
65	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus leporidalpha4	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201430
66	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macacinealpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201431
67	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macacinealpha2	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202208779
68	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macacinealpha3	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202208780
69	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macropodidalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201432
70	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macropodidalpha2	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201433
71	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus macropodidalpha4	dsDNA	New,	38	2022.002D.Herpesvirales_9nsp.zip	ictv.global=202214015
72	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus paninealpha3	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201434
73	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus papiinealpha2	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201435
74	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus pteropodidalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202206395
75	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus pteropodidalpha2	dsDNA	New,	38	2022.002D.Herpesvirales_9nsp.zip	ictv.global=202214016
76	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Simplexvirus		Simplexvirus saimiriinealpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201436
77	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus bovinealpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201440
78	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus bovinealpha5	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201441
79	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus bubalinealpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201442
80	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus canidalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201443
81	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus caprinealpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201444
82	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus cercopithecinealpha9	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201445
83	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus cervidalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201446
84	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus cervidalpha2	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201447
85	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus cervidalpha3	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202209143
86	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus equidalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201448
87	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus equidalpha3	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201449
88	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus equidalpha4	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201450
89	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus equidalpha6	dsDNA	New,	38	2022.002D.Herpesvirales_9nsp.zip	ictv.global=202214017
90	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus equidalpha8	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201451
91	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus equidalpha9	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201452
92	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus felidalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201453
93	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus humanalpha3	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201454
94	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus monodontidalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202206396
95	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus phocidalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201455
96	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Alphaherpesvirinae	Varicellovirus		Varicellovirus suidalpha1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201456
97	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Betaherpesvirinae	Cytomegalovirus		Cytomegalovirus aotinebeta1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201459
98	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Betaherpesvirinae	Cytomegalovirus		Cytomegalovirus cebinebeta1	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201460
99	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Betaherpesvirinae	Cytomegalovirus		Cytomegalovirus cercopithecinebeta5	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201461
100	Duplodnaviria		Heunggongvirae		Peploviricota		Herviviricetes		Herpesvirales		Orthoherpesviridae	Betaherpesvirinae	Cytomegalovirus		Cytomegalovirus humanbeta5	dsDNA	Renamed,	38	2022.001D.Herpesvirales_1renfam_4rengen_124rensp_6absp.zip	ictv.global=202201462
