#VOG	Function	Taxonomy (LCA)
VOG00704	sp|Q00143|VG39_ICHVA Uncharacterized protein ORF39	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae
VOG00718	sp|P03145|HBSAG_DHBV1 Large envelope protein	Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae
VOG00842	sp|P89083|E434_ADE09 Early E4 34 kDa protein	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG00852	sp|P60170|VSGP_EBOZM Pre-small/secreted glycoprotein	Riboviria;NA;NA;NA;NA;NA
VOG00856	sp|P16602|ATI_COWPX A-type inclusion protein A25 homolog	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG00874	sp|O57167|C10_VACCA Protein C10	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG00925	sp|P27282|POLN_EEVVT Polyprotein P1234	Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;NA;NA
VOG00961	sp|P27578|CAPSD_BYDVN Major capsid protein	Riboviria;Orthornavirae;NA;NA;NA;NA
VOG00969	REFSEQ RNA-dependent RNA polymerase	Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;NA
VOG01000	sp|O57187|RPO5_VACCA DNA-directed RNA polymerase 30 kDa polypeptide	Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA
VOG01001	sp|P19192|CAPSD_BPCHP Capsid protein VP1	Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
VOG01005	sp|Q5UQY8|YL897_MIMIV Putative ankyrin repeat protein L897	Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA
VOG01017	sp|Q66639|UL96_EHV2 Gene 35 protein	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG01062	sp|Q6GZW1|014R_FRG3G Uncharacterized protein 014R	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Iridoviridae
VOG01063	sp|P17529|CAPSD_PVMR Capsid protein	Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;NA
VOG01254	sp|P09592|POLS_EEVVT Structural polyprotein	Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae
VOG01262	sp|Q5UP97|YL021_MIMIV Putative sel1-like repeat-containing protein L21	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG01264	sp|P21080|E2_VACCC Protein E2	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG01286	sp|Q5UNW2|YR706_MIMIV Uncharacterized protein R706	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG01289	sp|P68600|C7_VACCW Interferon antagonist C7	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG01310	sp|Q9J7Z0|CAPSD_PAV Capsid protein alpha	Riboviria;Orthornavirae;NA;NA;NA;NA
VOG01311	REFSEQ putative glycoprotein	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Lispiviridae
VOG01319	sp|Q5UQR9|YL334_MIMIV Uncharacterized protein L334	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG01328	sp|Q5UNT2|YL672_MIMIV Uncharacterized protein L672	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG01436	sp|B4YNF9|V19_SPTNK Structural protein V19	Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae
VOG01461	sp|Q05233|VG26_BPML5 Minor tail protein Gp26	Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA
VOG01468	sp|P07297|CAPSD_PAVBP Minor capsid protein VP1	Monodnaviria;Shotokuvirae;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae
VOG01512	sp|P17190|HBEAG_HPBDB External core antigen	Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae
VOG01513	sp|P20997|RUVV_VACCC Resolvase A22	Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA
VOG01527	sp|P13699|NCAP_LASSJ Nucleoprotein	Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Arenaviridae
VOG01534	sp|O09705|L_LASSJ RNA-directed RNA polymerase L	Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;NA
VOG01585	sp|Q6GZS5|051R_FRG3G Uncharacterized protein 051R	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;NA
VOG01632	sp|A4VWG9|RQCH_STRSY Rqc2 homolog RqcH	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Algavirales;Phycodnaviridae
VOG01641	sp|Q98514|A464_PBCV1 Putative protein A464R	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG01693	sp|Q6GZT1|045L_FRG3G Uncharacterized protein 045L	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;NA
VOG02047	sp|Q07856|VE6_HPV65 Protein E6	Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae
VOG02049	sp|P89440|CVC1_HHV2H Capsid vertex component 1	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG02065	sp|P03616|COAT_BPPRR Coat protein	Riboviria;Orthornavirae;Lenarviricota;Leviviricetes;Norzivirales;Fiersviridae
VOG02099	sp|P04021|F13_VACCW Envelope phospholipase F13	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG02155	sp|Q5UP02|YL750_MIMIV Uncharacterized protein L750	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG02165	sp|Q5UPA1|YR024_MIMIV Uncharacterized protein R24	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG02178	sp|P0DSU3|A51_VAR67 Protein A51	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG02202	sp|Q5UR09|YR648_MIMIV Uncharacterized protein R648	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG02216	sp|Q5UNT7|YR679_MIMIV Putative serine/threonine-protein kinase R679	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG02237	sp|P0DOM3|G3_VAR67 Protein G3	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG02257	sp|Q5UPE0|YL065_MIMIV Uncharacterized protein L65	Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA
VOG02264	sp|Q5UQI0|YR830_MIMIV Putative BTB/POZ domain-containing protein R830	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG02266	sp|P0DSR8|A21_VARV Virion membrane protein A21	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG02328	sp|Q5UPS8|YL243_MIMIV Uncharacterized protein L243	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG02336	sp|Q5UNT0|YL674_MIMIV Putative BTB/POZ domain-containing protein L674	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG02352	sp|Q5UQJ3|YL862_MIMIV Uncharacterized protein L862	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG02362	sp|Q5UP95|YL015_MIMIV Uncharacterized protein L15	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG02372	sp|Q5URA4|YL144_MIMIV Uncharacterized protein L144	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG02393	sp|Q5UR50|YL567_MIMIV Uncharacterized protein L567	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG02400	sp|Q5UQH5|YR822_MIMIV Uncharacterized protein R822	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG02423	sp|P0DSU1|G7_VAR67 Assembly protein G7	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG02430	REFSEQ histone H2B/H2A fusion protein	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Marseilleviridae
VOG02471	sp|Q197B8|VF136_IIV3 Uncharacterized protein 042R	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG02485	sp|B4YNG0|CAPSD_SPTNK Putative capsid protein V20	Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes;Priklausovirales;Lavidaviridae
VOG02534	REFSEQ ubiquitin-like protein	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Marseilleviridae
VOG02592	sp|Q01013|AN_SHV21 Shutoff alkaline exonuclease	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;NA
VOG02608	sp|Q6DN67|L_CPSVP RNA-directed RNA polymerase L	Riboviria;Orthornavirae;Negarnaviricota;NA;NA;NA
VOG02650	sp|P09511|MVP_TYYVF Movement protein	Riboviria;Orthornavirae;NA;NA;NA;NA
VOG02655	REFSEQ 1ab	Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;NA
VOG02702	sp|A8E1C4|LTP_MUHVK Large tegument protein deneddylase	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG02720	sp|Q66625|GH_EHV2 Envelope glycoprotein H	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG02722	sp|Q8JVC1|CAPSD_PCVC Capsid protein	Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Chrysoviridae
VOG02723	sp|Q00131|VG28_ICHVA Uncharacterized protein ORF28	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae
VOG02742	sp|Q00125|VG60_ICHVA Uncharacterized protein ORF60	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae
VOG02771	sp|Q00158|VG54_ICHVA Uncharacterized protein ORF54	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae
VOG02777	sp|P28276|ICP27_HHV2H mRNA export factor	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG02781	sp|P68493|MP44_VACCT Metalloendopeptidase G1	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG02786	sp|Q197E3|VF335_IIV3 Uncharacterized protein 017R	Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA
VOG02788	sp|Q00099|VG56_ICHVA Uncharacterized protein ORF56	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Alloherpesviridae
VOG02799	sp|Q8JVB9|P4_PCVC Uncharacterized protein p4	Riboviria;Orthornavirae;NA;NA;NA;NA
VOG02809	REFSEQ nucleopasid protein	Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Phasmaviridae
VOG02813	sp|Q96684|CAP3_ADECR Pre-hexon-linking protein IIIa	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG02825	sp|Q5UNX2|YL715_MIMIV Putative ankyrin repeat protein L715	Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA
VOG02838	sp|Q5UQT7|RNC_MIMIV Probable ribonuclease 3	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG02881	sp|P89430|CEP1_HHV2H Cytoplasmic envelopment protein 1	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG02924	sp|P22535|CAPSD_BPPRD Major capsid protein P3	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae
VOG02999	sp|Q80944|VE2_HPV60 Regulatory protein E2	Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae
VOG03002	REFSEQ ORF1+2p	Riboviria;Orthornavirae;Pisuviricota;NA;NA;NA
VOG03028	sp|P0DJX1|PKG2_ADE02 Packaging protein 2	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG03081	sp|P07580|P12_BPPH6 Morphogenetic protein	Riboviria;Orthornavirae;Duplornaviricota;Vidaverviricetes;Mindivirales;Cystoviridae
VOG03116	sp|Q6GZX2|003R_FRG3G Uncharacterized protein 3R	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG03158	sp|P03245|E1B55_ADE07 E1B 55 kDa protein	Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae
VOG03194	sp|Q6GZN8|087L_FRG3G Uncharacterized protein 087L	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Iridoviridae
VOG03214	sp|Q33339|RDRP_CPMV1 RNA-directed RNA polymerase	Riboviria;Orthornavirae;Lenarviricota;NA;NA;NA
VOG03217	sp|Q6GZR8|057R_FRG3G Putative phosphotransferase 057R	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG03239	sp|P08669|GLYC_LASSJ Pre-glycoprotein polyprotein GP complex	Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Arenaviridae
VOG03399	sp|P0DOL1|P4A_VAR67 Major core protein 4a precursor	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG03517	sp|Q6GZM9|096R_FRG3G Uncharacterized protein 096R	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Iridoviridae
VOG03650	sp|Q6GZX3|002L_FRG3G Uncharacterized protein 002L	Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA
VOG03691	sp|Q01005|UL24_SHV21 Protein UL24 homolog	Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae
VOG03709	sp|P07579|CAPSD_BPPH6 Major outer capsid protein	Riboviria;Orthornavirae;Duplornaviricota;Vidaverviricetes;Mindivirales;Cystoviridae
VOG03747	sp|P07394|MATA_BPGA Maturation protein A	Riboviria;Orthornavirae;Lenarviricota;Leviviricetes;Norzivirales;Fiersviridae
VOG03749	sp|P07393|RDRP_BPGA RNA-directed RNA polymerase beta chain	Riboviria;Orthornavirae;Lenarviricota;Leviviricetes;Norzivirales;Fiersviridae
VOG03781	REFSEQ hypothetical protein 1	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Artoviridae
VOG03793	sp|Q6GZS7|049L_FRG3G Putative SAP domain-containing protein 049L	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Iridoviridae
VOG03892	sp|Q5UPL9|YR151_MIMIV Uncharacterized acetyltransferase R151	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG03897	sp|P33835|A9_VAR67 Virion membrane protein A9	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG03921	sp|Q5UPX5|YL237_MIMIV Uncharacterized protein L237	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04059	sp|Q5UR42|YR564_MIMIV Uncharacterized protein R564	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04080	sp|Q5UQM1|YL421_MIMIV Uncharacterized protein L421	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04092	sp|Q5UPC8|YL054_MIMIV Uncharacterized protein L54	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04094	sp|Q5UQJ7|YL399_MIMIV Uncharacterized protein L399	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04156	sp|Q5UQQ4|YL859_MIMIV Uncharacterized protein L859	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04159	sp|Q5UPJ5|YR119_MIMIV Uncharacterized protein R119	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04178	sp|C1JJY5|ORF6_HAPV1 Uncharacterized protein 6	Monodnaviria;Trapavirae;Saleviricota;Huolimaviricetes;Haloruvirales;Pleolipoviridae
VOG04220	sp|Q5UNY5|YR727_MIMIV Uncharacterized protein R727	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04223	sp|P0DOU1|L5_VAR67 Protein L5	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG04229	sp|Q5UP43|YR646_MIMIV Uncharacterized protein R646	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04232	sp|Q9J5A5|V117_FOWPN Protein FPV117	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG04323	sp|P0DOP5|F11_VAR67 Protein F11	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG04327	sp|Q5UPR5|YL775_MIMIV Putative PAN domain-containing protein L775	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04347	sp|Q5UPM1|YL149_MIMIV Uncharacterized protein L149	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04351	sp|Q5UQG9|YR816_MIMIV Uncharacterized protein R816	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04354	sp|Q5UR27|YL550_MIMIV Uncharacterized protein L550	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04392	sp|Q5UNT3|YL671_MIMIV Uncharacterized protein L671	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04393	sp|Q5UNY8|YR736_MIMIV Uncharacterized protein R736	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04416	sp|Q5UQ79|YL516_MIMIV Uncharacterized protein L516	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04499	sp|P0DSX1|E6_VAR67 Protein E6	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG04528	sp|P0DOS8|G9_VARV Myristoylated protein G9	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG04553	sp|Q5UPT3|YL248_MIMIV Uncharacterized protein L248	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04603	sp|P0DOO7|A15_VAR67 Core protein A15	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG04608	sp|Q5UQ87|YR522_MIMIV Uncharacterized protein R522	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04631	sp|A4KXB2|Y057_HVAVE Uncharacterized protein ORF57	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Ascoviridae
VOG04639	REFSEQ RNA-dependent RNA polymerase	Riboviria;Orthornavirae;Negarnaviricota;NA;NA;NA
VOG04734	sp|Q5UQJ9|YL397_MIMIV Uncharacterized protein L397	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04758	REFSEQ putative early transcription factor large subunit	Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA
VOG04766	sp|P07608|A25_VACCW Protein A2.5	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG04781	REFSEQ hypothetical protein 1	Riboviria;Orthornavirae;Kitrinoviricota;Magsaviricetes;Nodamuvirales;Sinhaliviridae
VOG04793	sp|Q5UQ29|YR212_MIMIV Uncharacterized protein R212	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04828	sp|Q5UP44|YL645_MIMIV Uncharacterized protein L645	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04833	sp|Q5UNU3|YL686_MIMIV Uncharacterized protein L686	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04870	sp|O57216|VLTF2_VACCA Viral late gene transcription factor 2	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG04928	sp|Q5UNU8|YR694_MIMIV Uncharacterized protein R694	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04940	sp|Q5UQG6|YL494_MIMIV Uncharacterized protein L494	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae
VOG04946	sp|P07242|H5_VACCW Late transcription elongation factor H5	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae
VOG05020	sp|P14968|TRAP_CLVN Transcriptional activator protein	Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Geminiviridae
VOG05022	sp|P36749|VL2_HPV14 Minor capsid protein L2	Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae
VOG05053	sp|Q6GZV5|020R_FRG3G Uncharacterized protein 020R	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Pimascovirales;Iridoviridae
VOG05063	sp|Q6GZV4|021L_FRG3G Uncharacterized protein 021L	Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;NA;NA
VOG05069	sp|Q65111|NCAP_ARV Nucleoprotein	Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes;Mononegavirales;Rhabdoviridae
